crate_name, repository, forks, stars, watchers, subscribers, archived, last_edit, total_crate_downloads, reverse_dep_count, has_toml
unicode-xid, https://github.com/unicode-rs/unicode-xid, 23, 31, 31, 8, false, 2022-09-15 17:15:11 UTC, 125059819, 92, true
time, https://github.com/time-rs/time, 201, 661, 661, 17, false, 2022-11-25 13:21:05 UTC, 108063230, 1794, true
base64, https://github.com/marshallpierce/rust-base64, 81, 395, 395, 9, false, 2022-10-21 15:27:19 UTC, 105474640, 2618, true
itertools, https://github.com/rust-itertools/itertools, 237, 1888, 1888, 20, false, 2022-10-28 20:06:44 UTC, 73768389, 3315, true
chrono, https://github.com/chronotope/chrono, 387, 2399, 2399, 28, false, 2022-11-25 15:57:02 UTC, 68672528, 6058, true
thread_local, https://github.com/Amanieu/thread_local-rs, 29, 192, 192, 6, false, 2022-11-18 16:47:37 UTC, 62671949, 59, true
http, https://github.com/hyperium/http, 226, 847, 847, 32, false, 2022-11-15 19:22:29 UTC, 59233860, 1955, true
httparse, https://github.com/seanmonstar/httparse, 89, 414, 414, 9, false, 2022-11-25 15:37:35 UTC, 57182357, 189, true
tracing, https://github.com/tokio-rs/tracing, 459, 3197, 3197, 43, false, 2022-11-25 01:04:22 UTC, 56756600, 2389, true
unicode-segmentation, https://github.com/unicode-rs/unicode-segmentation, 49, 421, 421, 17, false, 2022-11-13 23:33:15 UTC, 56108188, 336, true
tinyvec, https://github.com/Lokathor/tinyvec, 41, 463, 463, 11, false, 2022-09-20 01:48:28 UTC, 55675348, 67, true
hex, https://github.com/KokaKiwi/rust-hex, 39, 136, 136, 3, false, 2022-11-24 04:33:08 UTC, 50082687, 2340, true
adler, https://github.com/jonas-schievink/adler.git, 5, 8, 8, 3, false, 2021-02-26 12:12:15 UTC, 49327058, 5, true
ahash, https://github.com/tkaitchuck/ahash, 50, 636, 636, 16, false, 2022-11-10 22:52:27 UTC, 43633036, 273, true
httpdate, https://github.com/pyfisch/httpdate, 12, 33, 33, 2, false, 2022-10-20 06:41:30 UTC, 41682122, 59, true
rustls, https://github.com/rustls/rustls, 413, 3910, 3910, 70, false, 2022-11-25 08:47:57 UTC, 34467233, 377, true
tracing-subscriber, https://github.com/tokio-rs/tracing, 459, 3197, 3197, 43, false, 2022-11-25 01:04:22 UTC, 29705595, 1282, true
bumpalo, https://github.com/fitzgen/bumpalo, 78, 863, 863, 16, false, 2022-11-14 02:35:13 UTC, 27892991, 60, true
unicode-ident, https://github.com/dtolnay/unicode-ident, 4, 41, 41, 2, false, 2022-11-25 11:53:52 UTC, 27571297, 17, true
mime_guess, https://github.com/abonander/mime_guess, 44, 99, 99, 2, false, 2022-09-14 23:05:11 UTC, 27134488, 261, true
sharded-slab, https://github.com/hawkw/sharded-slab, 8, 149, 149, 5, false, 2022-06-15 12:24:24 UTC, 25795232, 11, true
tracing-log, https://github.com/tokio-rs/tracing, 459, 3197, 3197, 43, false, 2022-11-25 01:04:22 UTC, 23871778, 97, true
half, https://github.com/starkat99/half-rs, 26, 111, 111, 6, false, 2022-08-12 09:08:23 UTC, 22842082, 103, true
